Basic Parameters: 2024-09-21_19-16-17 model=svhn-defended-trades dataset=svhn n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 93.85%
1: attack success rate=34.5%, average queries=1.1, median queries=1.0
2: attack success rate=38.9%, average queries=1.3, median queries=1.0
3: attack success rate=43.9%, average queries=1.6, median queries=1.0
4: attack success rate=45.4%, average queries=1.7, median queries=1.0
5: attack success rate=48.2%, average queries=2.0, median queries=1.0
6: attack success rate=51.6%, average queries=2.3, median queries=1.0
7: attack success rate=54.8%, average queries=2.6, median queries=1.0
8: attack success rate=57.8%, average queries=3.0, median queries=1.0
9: attack success rate=59.7%, average queries=3.2, median queries=1.0
10: attack success rate=60.9%, average queries=3.3, median queries=1.0
11: attack success rate=62.1%, average queries=3.5, median queries=1.0
12: attack success rate=63.8%, average queries=3.8, median queries=2.0
13: attack success rate=64.8%, average queries=3.9, median queries=2.0
14: attack success rate=66.7%, average queries=4.2, median queries=2.0
15: attack success rate=67.8%, average queries=4.4, median queries=2.0
16: attack success rate=69.2%, average queries=4.7, median queries=3.0
17: attack success rate=70.0%, average queries=4.8, median queries=3.0
18: attack success rate=71.6%, average queries=5.2, median queries=3.0
19: attack success rate=72.7%, average queries=5.4, median queries=3.0
20: attack success rate=73.6%, average queries=5.6, median queries=3.0
21: attack success rate=74.9%, average queries=5.9, median queries=3.0
22: attack success rate=76.2%, average queries=6.1, median queries=3.0
23: attack success rate=76.8%, average queries=6.3, median queries=3.0
24: attack success rate=77.6%, average queries=6.5, median queries=3.0
25: attack success rate=78.7%, average queries=6.8, median queries=4.0
26: attack success rate=79.4%, average queries=6.9, median queries=4.0
27: attack success rate=80.1%, average queries=7.1, median queries=4.0
28: attack success rate=80.9%, average queries=7.3, median queries=4.0
29: attack success rate=81.5%, average queries=7.5, median queries=4.0
30: attack success rate=81.9%, average queries=7.6, median queries=4.0
31: attack success rate=82.6%, average queries=7.8, median queries=4.0
32: attack success rate=83.3%, average queries=8.0, median queries=4.0
33: attack success rate=83.6%, average queries=8.1, median queries=4.0
34: attack success rate=83.9%, average queries=8.2, median queries=4.0
35: attack success rate=84.2%, average queries=8.3, median queries=4.0
36: attack success rate=84.5%, average queries=8.4, median queries=4.0
37: attack success rate=84.8%, average queries=8.5, median queries=4.0
38: attack success rate=85.1%, average queries=8.6, median queries=4.0
39: attack success rate=85.4%, average queries=8.7, median queries=4.0
40: attack success rate=85.5%, average queries=8.8, median queries=4.0
41: attack success rate=85.7%, average queries=8.9, median queries=4.0
42: attack success rate=86.1%, average queries=9.0, median queries=4.0
43: attack success rate=86.7%, average queries=9.3, median queries=4.0
44: attack success rate=86.8%, average queries=9.3, median queries=4.0
45: attack success rate=87.0%, average queries=9.4, median queries=4.0
46: attack success rate=87.2%, average queries=9.5, median queries=4.0
47: attack success rate=87.4%, average queries=9.6, median queries=4.0
